A
MYPA003	Bunyip	Swamp Thing	Paleontology	Paleontology Mythic Cards	Mythic	Standard	
	Cible	player deck	Collection	Land Before Time			
	Effet	power	25				
	Duree	until played					

PLB006	Quaternary Extinction Event	Diverse Collapse	Paleontology	Land Before Time	Rare	Limited	
6	100						
Draw	Cible	self					
	Effet	power	-10				
	Multiplicateur	player album					
	Duree	permanently					

PLB014	Rhynie Chert	Plant Preservation	Paleontology	Land Before Time	Common	Limited	
6	53						
Play	Cible	player deck	Album	Plant Life			
	Effet	power	8				
	Multiplicateur	player hand	Collection	Land Before Time			
	Duree	Round	1				

PLB004	Triassic-Jurassic Extinction Event	Triassic, Parked	Paleontology	Land Before Time	Rare	Limited	
3	27						
Draw	Cible	self					
	Effet	lock					
	Duree	turn	3				
Draw	Cible	player deck	Album	Paleontology			
	Effet	power	10				
	Duree	until played					

PMO032	Anomalocaris	Abnormal Shrimp	Paleontology	Monsters of the Deep	Legendary	Limited	
6	43						
Play	Cible	player deck	Collection	Crustaceans			
	Effet	power	3				
	Multiplicateur	player deck	Collection	Monsters of the Deep	7		
	Duree	until played					
Play	Cible	player deck	Collection	Monsters of the Deep			
	Effet	power	3				
	Multiplicateur	player deck	Collection	Crustaceans	7		
	Duree	until played					

PMO015	Archegosaurus	What a Croc	Paleontology	Monsters of the Deep	Rare	Limited	
1	12						
Play	Cible	player hand	Collection	Amphibians			
	Cible	player hand	Collection	Fabulous Fish			
	Cible	player hand	Collection	Feisty Fish			
	Effet	power	15				
	Duree	turn	1				

PMO026	Attenborosaurus	A True Natural	Paleontology	Monsters of the Deep	Legendary	Limited	
5	52						
Play	Condition	player deck	Album	Oceans and Seas	<	7	
	Cible	player deck	Album	Oceans and Seas			
	Effet	power	15				
	Duree	turn	6				
Play	Condition	player deck	Album	Life on Land	<	7	
	Cible	player deck	Album	Life on Land			
	Effet	power	15				
	Duree	turn	6				
Play	Condition	player deck	Album	Paleontology	<	7	
	Cible	player deck	Album	Paleontology			
	Effet	power	15				
	Duree	turn	6				

PMO005	Basilosaurus	Strike From the Deep	Paleontology	Monsters of the Deep	Common	Limited	
6	54	2020					
Play	Cible	opponent hand	Album	Oceans and Seas			
	Effet	power	-10				
	Duree	turn	1				

PMO045	Bothriolepis	Extreme Diverse	Paleontology	Monsters of the Deep	Rare	Limited	
4	40						
Play	Condition	player album	>	13			
	Cible	player deck					
	Effet	power	10				
	Duree	until played					
Play	Condition	player album	>	13			
	Cible	self					
	Effet	power	10				
	Duree	permanently					

PMO027	Brachypterygius	Wide Paddle	Paleontology	Monsters of the Deep	Rare	Limited	
3	28						
Play	Condition	placement	milieu				
	Cible	player hand	Album	Paleontology			
	Cible	player hand	Album	Oceans and Seas			
	Effet	power	29				
	Duree	turn	1				

PMO014	Cymbospondylus	Not a Fluke	Paleontology	Monsters of the Deep	Common	Limited	
8	79						
Return	Condition	turn score	>	0			
	Cible	player					
	Effet	power per turn	15				
	Duree	turn	2				

PMO010	Dakosaurus	Dak to the Future	Paleontology	Monsters of the Deep	Common	Limited	
5	0						
Play	Cible	self					
	Effet	power	45				
	Duree	permanently					

PMO041	Dipterus	Lungish Out Of Water	Paleontology	Monsters of the Deep	Rare	Limited	
5	37						
Play	Condition	player deck	Album	Paleontology	<	4	
	Cible	player hand	Collection	Fabulous Fish			
	Cible	player hand	Collection	Feisty Fish			
	Effet	power	13				
	Duree	permanently					

PMO002	Edestus	Scissortoothed	Paleontology	Monsters of the Deep	Common	Limited	
5	70	2020					
Draw	Condition	round score	>	0			
	Cible	self					
	Effet	power	-35				
	Duree	Round	1				

PMO011	Elasmosaurus	Cope-ing Mechanism	Paleontology	Monsters of the Deep	Legendary	Limited	
6	62	2020					
Return	Condition	turn score	<	0			
	Cible	player					
	Effet	energy	6				

PMO038	Eretmorhipis	Oar Fan	Paleontology	Monsters of the Deep	Common	Limited	
6	59						
Draw	Cible	player hand	Collection	Riding the Waves!			
	Effet	power	16				
	Duree	until played					

PMO021	Eurhinosaurus	You, Rhino, Saw Us.	Paleontology	Monsters of the Deep	Common	Limited	
3	36						
Return	Cible	player deck	Name	Southern White Rhinoceros			
	Cible	player deck	Name	Black Rhinoceros			
	Cible	player deck	Name	Elasmotherium			
	Effet	cost	-1				
	Duree	until played					

PMO020	Eurypterus	Scorpion Ascendant	Paleontology	Monsters of the Deep	Epic	Limited	
2	21						
Return	Cible	player remaining	Collection	Venomous Creatures			
	Effet	power	40				
	Duree	Round	1				

PMO044	Eusthenopteron	Lobe-Finned	Paleontology	Monsters of the Deep	Common	Limited	
5	39						
Draw	Cible	player deck	Collection	Amphibians			
	Filtre	random	1				
	Effet	power	25				
	Duree	until played					
Draw	Cible	player deck	Album	Paleontology			
	Filtre	random	1				
	Effet	power	25				
	Duree	until played					

PMO023	Galagadon	Mopping Shmup	Paleontology	Monsters of the Deep	Epic	Limited	
9	81						
Return	Cible	player deck	Album	Space			
	Effet	power	12				
	Duree	turn	3				

PMO025	Gavialinum	Teeth on Edge	Paleontology	Monsters of the Deep	Common	Limited	
6	50						
Play	Condition	round score	>	64			
	Cible	self					
	Effet	power	66				
	Duree	turn	1				

PMO007	Helicoprion	Into the Jaws of Defeat!	Paleontology	Monsters of the Deep	Epic	Limited	
9	86	2020					
Draw	Cible	player hand	Collection	Sharks!			
	Effet	power	40				
	Duree	until played					

PMO033	Hurdia	Rake-Like	Paleontology	Monsters of the Deep	Rare	Limited	
3	25						
Draw	Condition	player deck	Collection	Curious Cuisine	>	1	
	Cible	self					
	Effet	power	30				
	Duree	turn	3				

PMO013	Kronosaurus	Lizard of Kronos	Paleontology	Monsters of the Deep	Rare	Limited	
4	39	2020					
Play	Cible	player hand	Collection	Reptiles			
	Effet	power	25				
	Duree	turn	1				

PMO001	Liopleurodon	Deep Trouble	Paleontology	Monsters of the Deep	Epic	Limited	
4	36	2020					
Draw	Cible	player hand	Album	Paleontology			
	Effet	power	20				
	Duree	until played					

PMO008	Livyatan Melvillei	Whale of a Time	Paleontology	Monsters of the Deep	Common	Limited	
7	65	2020					
Draw	Cible	player hand	Name	Orca			
	Effet	cost	-3				
	Duree	until played					

PMO034	Marrella	Active Swimmer	Paleontology	Monsters of the Deep	Rare	Limited	
5	50						
Play	Condition	voisin	gauche	album	Oceans and Seas		
	Condition	voisin	droite	album	Oceans and Seas		
	Cible	player hand	Collection	Ancient Creatures			
	Effet	power	35				
	Duree	until played					

PMO009	Mawsonia	Maw Power!	Paleontology	Monsters of the Deep	Epic	Limited	
5	30	2020					
Play	Cible	player hand	Collection	Monsters of the Deep			
	Effet	power	24				
	Duree	turn	1				

PMO017	Nothosaurus	Seal the Deal	Paleontology	Monsters of the Deep	Legendary	Limited	
9	70						
Draw	Cible	self					
	Effet	cost	-6				
	Duree	turn	1				

PMO035	Pachyrhachis	Snakes and Lizards	Paleontology	Monsters of the Deep	Common	Limited	
4	32						
Draw	Cible	player hand	Collection	Venomous Creatures			
	Cible	player hand	Collection	Reptiles			
	Effet	cost	-1				
	Duree	turn	2				

PMO022	Placodus	Placate	Paleontology	Monsters of the Deep	Epic	Limited	
6	99						
Return	Condition	turn score	>	0			
	Cible	opponent					
	Effet	power per turn	14				
	Duree	Round	1				

PMO019	Pleiosaurus	Early Swim	Paleontology	Monsters of the Deep	Epic	Limited	
8	80	2020					
Play	Condition	turn	1				
	Cible	player hand	Album	Paleontology			
	Effet	power	15				
	Duree	Round	1				

PMO018	Pliosaurus	Pli Your Trade	Paleontology	Monsters of the Deep	Rare	Limited	
7	69						
Draw	Cible	player hand					
	Filtre	random	1				
	Effet	power	15				
	Duree	until played					
Draw	Cible	player hand					
	Filtre	random	1				
	Effet	cost	-2				
	Duree	until played					

PMO042	Protosphyraena	Early Barracuda	Paleontology	Monsters of the Deep	Epic	Limited	
7	67						
Play	Condition	turn	1				
	Cible	player deck	Collection	Feisty Fish			
	Effet	power	21				
	Duree	until played					

PMO030	Psephoderma	Pebble Skin Protection	Paleontology	Monsters of the Deep	Epic	Limited	
8	71						
Play	Condition	placement	milieu				
	Acondition	voisin	gauche	vide			
	Acondition	voisin	droite	vide			
	Cible	player deck	Collection	Monsters of the Deep			
	Effet	power	15				
	Duree	until played					

PMO037	Saber-Toothed Salmon	Toothy Territory	Paleontology	Monsters of the Deep	Epic	Limited	
3	20						
Play	Condition	voisin	next to	name	Teeth		
	Cible	opponent hand					
	Filtre	random	1				
	Effet	power	-60				
	Duree	turn	1				
Return	Cible	player deck	Name	Teeth			
	Effet	power	20				
	Duree	until played					

PMO043	Sacabambaspis	Surprise Face	Paleontology	Monsters of the Deep	Common	Limited	
5	40						
Draw	Condition	player deck	Collection	History of the Internet	>	0	
	Cible	player hand	Collection	Monsters of the Deep			
	Effet	power	15				
	Duree	until played					

PMO004	Shastasaurus	Reptile Wrangler	Paleontology	Monsters of the Deep	Common	Limited	
3	28	2020					
Play	Cible	player hand	Collection	Ocean Reptiles			
	Effet	power	20				
	Duree	turn	1				

PMO006	Styxosaurus	Styx it to the Man	Paleontology	Monsters of the Deep	Common	Limited	
4	35	2020					
Play	Cible	player hand	Name	Hades			
	Effet	power	36				
	Duree	turn	1				

PMO016	Thalattoarchon	Sovereign of the Sea	Paleontology	Monsters of the Deep	Legendary	Limited	
5	60						
Draw	Cible	player hand	Album	Oceans and Seas			
	Effet	cost	-2				
	Duree	Round	1				

PMO036	Tiktaalik	It Started Out With a Fish...	Paleontology	Monsters of the Deep	Rare	Limited	
5	45						
Play	Condition	voisin	next to	Collection	Fabulous Fish		
	Cible	player deck	Collection	Human Evolution			
	Filtre	random	4				
	Effet	power	16				
	Duree	until played					

PMO012	Tylosaurus	No Escape	Paleontology	Monsters of the Deep	Legendary	Limited	
5	30						
Play	Condition	round score	>	0			
	Cible	player deck	Collection	Monsters of the Deep			
	Effet	power	24				
	Duree	until played					

PMO024	Wahlisaurus	Wahl to Wahl	Paleontology	Monsters of the Deep	Epic	Limited	
4	38						
Play	Condition	placement	gauche				
	Cible	self					
	Effet	power	29				
	Duree	turn	1				
Play	Condition	placement	droite				
	Cible	self					
	Effet	power	29				
	Duree	turn	1				

PMO040	Xenacanthus	Dorsal Ribbon	Paleontology	Monsters of the Deep	Rare	Limited	
5	47						
Play	Condition						

POM015	Amphicyon	Bear Dog	Paleontology	Omnivores	Common	Standard	
5	40	2020					
Play	Cible	player hand	Name	Grizzly Bear			
	Effet	power	40				
	Duree	turn	1				

POM020	Anchisaurus	Survive the Blast	Paleontology	Omnivores	Epic	Limited	
4	35	2020					
Return	Condition	turn	lost				
	Cible	player					
	Effet	power per turn	35				
	Duree	turn	2				
Return	Condition	turn	lost				
	Cible	player deck	Album	Paleontology			
	Afiltre	Limited					
	Effet	power	20				
	Duree	Round	1				

POM018	Balaur Bondoc	Way of the Dragon	Paleontology	Omnivores	Epic	Standard	
7	72	2020					
Draw	Cible	opponent hand					
	Filtre	random	1				
	Effet	burn	30				
	Duree	until played					

